timestamp,side,result,entry_price,exit_price,size_usd,qty,fill_pct,sl_pct,tp_pct,pnl,trailing_stop_price
2026-03-22T19:13:31.631928+00:00,NO,SL,0.49501121510277646,0.4899905615447994,26.545419290303855,53.6259,0.8848,0.075,0.11,-0.2692,0.5
2026-03-22T19:32:40.836699+00:00,NO,SL,0.49005177580191756,0.4532978926167738,29.283616927539914,59.7562,0.9764,0.075,0.11,-2.1963,
2026-03-22T19:38:57.743778+00:00,YES,SL,0.5350276360409192,0.49377700530216434,28.446605999271878,53.1685,0.9506,0.0771,0.1131,-2.1932,
2026-03-22T21:17:13.372458+00:00,NO,WIN,0.4850062416914535,1.0,27.689048333003715,57.0901,0.923,0.196,0.2874,29.401,
2026-03-22T21:54:56.772542+00:00,YES,SL,0.5150142874896452,0.4681479873280875,30.211754104097633,58.662,0.9783,0.091,0.1334,-2.7493,
2026-03-22T22:18:20.859569+00:00,YES,SL,0.5050182642894714,0.48497067438202035,29.893801828008243,59.1935,0.9706,0.164,0.2405,-1.1867,0.5034
2026-03-22T22:34:51.849484+00:00,YES,LOSS,0.4950109624330326,0.0,26.734249873225828,54.0074,0.869,0.1626,0.2385,-26.7342,
2026-03-22T22:52:29.751132+00:00,YES,WIN,0.5200130123510853,1.0,26.241227692469757,50.4626,0.8758,0.0969,0.1422,24.2214,
2026-03-22T23:07:08.251766+00:00,YES,LOSS,0.475027843622234,0.0,29.089067456620565,61.2366,0.9479,0.1129,0.1656,-29.0891,
2026-03-22T23:23:46.512720+00:00,NO,WIN,0.5350253219785199,1.0,26.036817973470978,48.6646,0.8733,0.1214,0.178,22.6278,
2026-03-22T23:34:58.407022+00:00,NO,SL,0.5050308818371071,0.46573947923018016,30.419690414820273,60.2333,0.9975,0.0778,0.1141,-2.3667,
2026-03-22T23:48:34.100139+00:00,NO,SL,0.49501451706884514,0.45498521591381275,29.120732005986767,58.828,0.9572,0.0937,0.1375,-2.3548,0.49
2026-03-23T00:23:56.984901+00:00,NO,LOSS,0.5050227518633227,0.0,29.605634629996132,58.6224,0.9754,0.1673,0.2453,-29.6056,
2026-03-23T01:34:12.134101+00:00,YES,LOSS,0.5150391245281327,0.0,29.353764099451418,56.9933,0.9962,0.1559,0.2287,-29.3538,
2026-03-23T01:53:36.037637+00:00,YES,WIN,0.5150092952923464,1.0,25.175555696864894,48.8837,0.8807,0.1002,0.147,23.7081,
2026-03-23T02:26:26.628074+00:00,YES,WIN,0.515017009780537,1.0,27.49758597159573,53.3916,0.9386,0.1199,0.1759,25.894,
2026-03-23T02:59:40.990904+00:00,NO,SL,0.5050122091412639,0.49998705092507384,26.814814866322536,53.0974,0.8917,0.093,0.1364,-0.2668,0.51
2026-03-23T03:53:26.404392+00:00,NO,SL,0.4950096490616172,0.4799890110726456,26.92237751658676,54.3876,0.8955,0.0758,0.1112,-0.8169,0.49
2026-03-23T04:29:56.174216+00:00,NO,SL,0.5050221000096532,0.46714544250892925,29.832140030626366,59.071,0.9931,0.075,0.11,-2.2374,
2026-03-23T04:49:52.489932+00:00,YES,SL,0.4950159082975487,0.4578897151752326,25.948342297585736,52.4192,0.8657,0.075,0.11,-1.9461,
2026-03-23T05:16:18.201309+00:00,YES,SL,0.490020513134496,0.43979341053821014,28.024428954480683,57.1903,0.9368,0.1025,0.1503,-2.8725,
2026-03-23T05:51:20.754436+00:00,YES,WIN,0.5050280032668064,1.0,25.540239474491926,50.5719,0.8562,0.1194,0.1752,25.0317,
2026-03-23T05:54:58.130471+00:00,YES,SL,0.5150106411962527,0.45604192277928174,28.26855066932274,54.8893,0.9244,0.1145,0.168,-3.2367,
2026-03-23T06:29:29.310435+00:00,NO,WIN,0.5050127577248192,1.0,29.34608409267726,58.1096,0.9627,0.102,0.1496,28.7635,
2026-03-23T07:24:57.356921+00:00,NO,SL,0.5050094007581322,0.4433477529255642,26.724945256046905,52.9197,0.8526,0.1221,0.1791,-3.2631,
2026-03-23T07:48:09.928051+00:00,YES,SL,0.510025805061423,0.4409683110561064,31.124129708830097,61.0246,0.9961,0.1354,0.1985,-4.2142,
2026-03-23T08:38:30.429566+00:00,NO,WIN,0.5050193786733731,1.0,30.894450025067293,61.1748,0.9927,0.104,0.1526,30.2803,
2026-03-23T08:48:35.078105+00:00,NO,SL,0.5250419222137428,0.463769529891399,30.48415694519792,58.0604,0.9518,0.1167,0.1712,-3.5575,
2026-03-23T09:24:59.644965+00:00,NO,SL,0.5050166151956067,0.4671403690559362,29.833414471565273,59.0741,0.9346,0.075,0.11,-2.2375,
2026-03-23T10:42:46.143581+00:00,NO,LOSS,0.5150221499723634,0.0,29.183585337539498,56.6647,0.9161,0.075,0.11,-29.1836,
2026-03-24T01:19:28.992819+00:00,NO,LOSS,0.4950123165095628,0.0,28.519308970401347,57.6133,0.9206,0.1106,0.1622,-28.5193,
2026-03-24T02:09:54.120046+00:00,NO,SL,0.49501088863190423,0.46997021171992837,27.786209768003353,56.1325,0.9262,0.096,0.1407,-1.4056,0.49
2026-03-24T02:22:05.334300+00:00,NO,LOSS,0.5050150327125679,0.0,28.412352898304842,56.2604,0.9484,0.1014,0.1487,-28.4124,
2026-03-24T02:29:55.748609+00:00,NO,TP,0.5050119822194111,0.5784912256323355,27.384523708854797,54.2255,0.9409,0.0992,0.1455,3.9844,0.5695
2026-03-24T02:34:11.294379+00:00,YES,SL,0.49503639445007536,0.446819849630638,27.670700392296272,55.8963,0.9468,0.0974,0.1429,-2.6951,0.49
2026-03-24T02:39:36.864527+00:00,YES,SL,0.4950252105300881,0.4524530424245005,27.251952761951348,55.0516,0.9351,0.086,0.1262,-2.3437,
2026-03-24T02:53:00.694687+00:00,YES,LOSS,0.5300129641705893,0.0,27.76166936240492,52.3792,0.9549,0.1092,0.1601,-27.7617,
2026-03-24T03:39:34.992956+00:00,YES,WIN,0.515020017464883,1.0,25.6962194956806,49.8936,0.9099,0.075,0.11,24.1974,
2026-03-24T03:54:46.453391+00:00,NO,LOSS,0.5050117533395773,0.0,28.180100803814884,55.8009,0.9728,0.075,0.11,-28.1801,
2026-03-24T04:09:46.817811+00:00,YES,SL,0.5050275188046799,0.5049648898247816,27.93172434414067,55.3073,0.9933,0.075,0.11,-0.0035,0.52
2026-03-24T05:34:06.876163+00:00,NO,SL,0.49501725164794574,0.4464065575361175,24.619826783382894,49.7353,0.8755,0.0982,0.144,-2.4177,
2026-03-24T06:24:57.819416+00:00,YES,TP,0.5050221658256808,0.5605746040665057,26.506116007417813,52.4851,0.945,0.075,0.11,2.9157,0.59
2026-03-24T06:49:57.665417+00:00,YES,WIN,0.4950213933910214,1.0,26.864108973353932,54.2686,0.9548,0.075,0.11,27.4045,0.49
2026-03-24T07:49:38.481738+00:00,YES,WIN,0.47505176621863443,1.0,25.844543484357743,54.4036,0.8925,0.1033,0.1515,28.5591,
2026-03-24T09:22:44.187806+00:00,YES,LOSS,0.5350108670939691,0.0,29.641628864831254,55.4038,0.9942,0.0835,0.1224,-29.6416,
2026-03-24T09:42:01.653079+00:00,YES,WIN,0.5050165037240857,1.0,26.17597914196561,51.8319,0.9049,0.075,0.11,25.6559,0.52
2026-03-24T10:29:03.158059+00:00,NO,TIME_STOP,0.5050313746648464,0.48998222770754096,27.486716378565067,54.4258,0.9162,0.075,0.11,-0.8191,
2026-03-24T10:48:58.125781+00:00,NO,TIME_STOP,0.5050100632654211,0.4949819129752207,28.12270091322559,55.6874,0.9382,0.0812,0.1191,-0.5584,
2026-03-24T11:17:53.390627+00:00,NO,SL,0.5350578760485638,0.48085651320484435,26.194120819473206,48.9557,0.8743,0.1013,0.1485,-2.6535,
2026-03-24T12:29:43.284730+00:00,NO,LOSS,0.5050122543407296,0.0,25.735463509666808,50.9601,0.8613,0.0779,0.1142,-25.7355,
2026-03-24T12:49:06.652176+00:00,NO,TIME_STOP,0.49501500573653623,0.48498223216574976,28.437596395849457,57.4479,0.977,0.083,0.1218,-0.5764,
2026-03-24T13:07:00.222500+00:00,YES,REVERSE_CLOSE,0.5450118150267319,0.5049703378707702,27.234877194921488,49.9712,0.9362,0.075,0.11,-2.0009,
2026-03-24T13:09:00.546820+00:00,NO,TIME_STOP,0.495017708963666,0.4849894470325199,26.678376673159498,53.8938,0.919,0.075,0.11,-0.5405,
2026-03-24T15:14:29.698372+00:00,YES,LOSS,0.5150136363905062,0.0,25.894005568477546,50.2783,0.8925,0.2,0.3337,-25.894,
2026-03-24T15:29:05.471798+00:00,YES,LOSS,0.5250161390271227,0.0,24.38736110463309,46.4507,0.8637,0.1424,0.2089,-24.3874,
2026-03-24T15:52:00.351186+00:00,YES,TIME_STOP,0.4950347897550966,0.48498121076519707,26.552758731201298,53.6382,0.9654,0.1202,0.1763,-0.5393,
2026-03-24T16:43:08.321710+00:00,NO,LOSS,0.505029361155757,0.0,25.454213566233427,50.4015,0.926,0.1598,0.2343,-25.4542,
2026-03-24T18:24:20.660862+00:00,YES,WIN,0.5300216913936865,1.0,24.907034343593914,46.9925,0.932,0.0964,0.1414,22.0854,
